duration,packets,bytes,cpacket_ronnections,ate,byte_rate,protocol,src_ip,label
2,5248,1894279,584,3048,621809,TCP,8.109.189.34,DDoS
164,334,42981,9,83,3195,TCP,129.228.117.191,Normal
82,6229,122949,39,1946,21290,TCP,37.162.102.243,BruteForce
16,21106,3678229,469,3131,421921,TCP,138.69.153.76,DDoS
123,225,38132,9,39,1170,TCP,209.69.204.237,Normal
8,1916,7207,484,601,3655,TCP,10.38.227.207,PortScan
3,13104,2004803,367,2759,513043,UDP,105.66.169.7,DDoS
264,93,19897,2,44,3660,TCP,191.137.188.222,Normal
87,2092,64268,82,1933,13601,TCP,251.98.4.149,BruteForce
213,278,37179,3,31,880,TCP,25.80.208.99,Normal
179,1984,456915,66,1481,36509,TCP,132.164.8.98,BruteForce
44,1460,21072,380,431,6568,TCP,57.153.137.247,PortScan
241,288,26560,7,95,2772,UDP,173.246.40.104,Normal
68,360,9713,8,90,2690,UDP,33.94.85.217,Normal
52,2886,12360,156,776,9701,TCP,24.18.183.60,PortScan
7,43433,2938976,659,1616,793006,TCP,186.165.193.79,DDoS
17,14200,3969807,352,2032,524303,TCP,69.6.120.248,DDoS
11,46242,3442698,107,5327,256726,UDP,29.222.111.144,DDoS
268,182,41858,9,95,2682,UDP,68.49.15.111,Normal
17,49317,1581922,254,6900,535326,TCP,253.177.81.24,DDoS
12,34420,3925854,759,9195,106082,TCP,37.22.235.75,DDoS
109,203,17544,9,80,4177,HTTP,172.254.243.59,Normal
42,3448,30192,327,833,3988,TCP,244.120.29.86,PortScan
27,1825,17776,378,498,8922,TCP,115.9.61.56,PortScan
189,8926,490194,108,1650,47818,TCP,206.122.201.61,BruteForce
92,466,5573,5,44,1036,HTTP,83.52.90.213,Normal
33,2832,18057,363,890,6093,TCP,52.138.59.12,PortScan
49,1792,8365,464,804,7428,TCP,66.11.138.175,PortScan
55,3368,27868,173,332,3949,TCP,195.78.249.31,PortScan
17,31869,2964661,566,5119,865760,UDP,186.111.144.120,DDoS
285,184,1992,9,55,1851,UDP,157.253.33.40,Normal
3,44098,2038436,139,9679,579230,UDP,224.194.43.19,DDoS
238,132,19615,4,35,4555,HTTP,230.137.92.7,Normal
253,46,1938,9,86,4274,UDP,206.62.26.24,Normal
56,2885,12286,384,810,7031,TCP,230.53.140.36,PortScan
83,4696,142904,141,1098,45904,TCP,8.102.26.165,BruteForce
43,4085,29457,354,757,6699,TCP,120.80.87.208,PortScan
48,3493,17623,341,880,7612,TCP,87.11.21.220,PortScan
4,36178,1727925,624,5998,476948,UDP,119.108.102.12,DDoS
11,5383,3168886,407,2166,771268,UDP,17.3.150.72,DDoS
79,439,48665,1,58,2894,TCP,240.113.46.1,Normal
80,1007,405356,158,1421,30282,TCP,153.28.216.42,BruteForce
12,32966,1180612,808,6914,267852,UDP,151.11.82.101,DDoS
